Date,Total_budget,MarketingInvestment,Cumulative_budget,Cumulative_real
2018-01-01,36867.53273894714,24233.59,36867.53273894714,24233.59
2018-01-02,36867.53273894714,53401.9,73735.06547789428,77635.49
2018-01-03,36867.53273894715,33618.69,110602.59821684143,111254.18000000001
2018-01-04,36867.53273894715,23613.97,147470.1309557886,134868.15000000002
2018-01-05,36867.53273894714,10901.6,184337.66369473573,145769.75000000003
2018-01-06,36867.53273894715,34463.41,221205.19643368287,180233.16000000003
2018-01-07,36867.53273894715,16258.62,258072.72917263,196491.78000000003
2018-01-08,36955.389178947145,37562.549999999996,295028.11835157714,234054.33000000002
2018-01-09,36955.389178947145,4407.11,331983.5075305243,238461.44
2018-01-10,36955.389178947145,34181.72,368938.8967094714,272643.16000000003
2018-01-11,36955.389178947145,0.0,405894.28588841856,272643.16000000003
2018-01-12,36955.389178947145,0.0,442849.6750673657,272643.16000000003
2018-01-13,36955.389178947145,0.0,479805.06424631283,272643.16000000003
2018-01-14,36955.389178947145,0.0,516760.45342525997,272643.16000000003
2018-01-15,36331.388938947144,0.0,553091.8423642071,272643.16000000003
2018-01-16,36331.388938947144,0.0,589423.2313031543,272643.16000000003
2018-01-17,36331.388938947144,0.0,625754.6202421014,272643.16000000003
2018-01-18,36331.388938947144,0.0,662086.0091810485,272643.16000000003
2018-01-19,36331.388938947144,0.0,698417.3981199956,272643.16000000003
2018-01-20,36331.388938947144,0.0,734748.7870589427,272643.16000000003
2018-01-21,36331.388938947144,0.0,771080.1759978898,272643.16000000003
2018-01-22,43838.01758532905,0.0,814918.1935832188,272643.16000000003
2018-01-23,43838.01758532904,0.0,858756.2111685479,272643.16000000003
2018-01-24,43838.01758532906,0.0,902594.2287538769,272643.16000000003
2018-01-25,43838.01758532904,0.0,946432.2463392059,272643.16000000003
2018-01-26,43838.017585329035,0.0,990270.2639245349,272643.16000000003
2018-01-27,43838.01758532904,0.0,1034108.2815098639,272643.16000000003
2018-01-28,43838.01758532904,0.0,1077946.299095193,272643.16000000003
2018-01-29,39546.9118682319,0.0,1117493.2109634248,272643.16000000003
2018-01-30,39546.9118682319,0.0,1157040.1228316566,272643.16000000003
2018-01-31,39546.911868231895,0.0,1196587.0346998884,272643.16000000003
2018-02-01,39546.9118682319,59606.92,1236133.9465681203,332250.08
2018-02-02,39546.9118682319,52653.59,1275680.858436352,384903.67000000004
2018-02-03,39546.91186823191,31432.79,1315227.770304584,416336.46
2018-02-04,39546.9118682319,25103.43,1354774.6821728158,441439.89
2018-02-05,39540.1185882319,31753.59,1394314.8007610478,473193.48000000004
2018-02-06,39540.118588231904,22925.16,1433854.9193492797,496118.64
2018-02-07,39540.118588231904,35875.72,1473395.0379375117,531994.36
2018-02-08,39540.118588231904,32520.54,1512935.1565257437,564514.9
2018-02-09,39540.1185882319,4295.9800000000005,1552475.2751139756,568810.88
2018-02-10,39540.118588231904,35444.78,1592015.3937022076,604255.66
2018-02-11,39540.1185882319,0.0,1631555.5122904396,604255.66
2018-02-12,39574.48066323191,0.0,1671129.9929536714,604255.66
2018-02-13,39574.4806632319,0.0,1710704.4736169032,604255.66
2018-02-14,39574.48066323191,0.0,1750278.954280135,604255.66
2018-02-15,39574.480663231894,0.0,1789853.4349433668,604255.66
2018-02-16,39574.4806632319,0.0,1829427.9156065986,604255.66
2018-02-17,39574.48066323191,0.0,1869002.3962698304,604255.66
2018-02-18,39574.4806632319,0.0,1908576.8769330622,604255.66
2018-02-19,39591.6238632319,0.0,1948168.500796294,604255.66
2018-02-20,39591.6238632319,0.0,1987760.124659526,604255.66
2018-02-21,39591.6238632319,0.0,2027351.7485227578,604255.66
2018-02-22,39591.6238632319,0.0,2066943.3723859896,604255.66
2018-02-23,39591.6238632319,0.0,2106534.9962492217,604255.66
2018-02-24,39591.6238632319,0.0,2146126.6201124536,604255.66
2018-02-25,39591.6238632319,0.0,2185718.2439756854,604255.66
2018-02-26,37437.5065683819,0.0,2223155.7505440675,604255.66
2018-02-27,37437.5065683819,0.0,2260593.2571124495,604255.66
2018-02-28,37437.5065683819,0.0,2298030.7636808315,604255.66
2018-03-01,37437.5065683819,57174.03,2335468.2702492136,661429.6900000001
2018-03-02,37437.506568381905,33881.04,2372905.7768175956,695310.7300000001
2018-03-03,37437.5065683819,32140.18,2410343.2833859776,727450.9100000001
2018-03-04,37437.506568381905,39648.86,2447780.7899543596,767099.7700000001
